Book_ID,Title,tags
1,atomic habit,",atomic habit,hachette,clear,self help,james"
2,rich dad poor dad,",t,finance,kiyosaki,rich dad poor dad,robert,random house"
3,alchemist,",fiction,alchemist,coelho,paulo,random house"
4,ikigai,"garca,,hachette,self help,hctor,ikigai"
5,deep work,",macmillan,productivity,cal,deep work,newport"
6,psychology money,"housel,,psychology money,finance,macmillan,morgan"
7,think grow rich,",hill,self help,simon & schuster,think grow rich,napoleon"
8,harry potter philosopher stone,",harry potter philosopher stone,k,fantasy,j,rowling,random house"
9,hobbit,",hachette,jrr,tolkien,fantasy,hobbit"
10,kill mockingbird,",harper,lee,kill mockingbird,macmillan,classic"
11,1984,",1984,george,orwell,harpercollins,dystopian"
12,great gatsby,",great gatsby,f,penguin,classic,scott,fitzgerald"
13,pride prejudice,",hachette,jane,austen,romance,pride prejudice"
14,kite runner,",fiction,khaled,kite runner,macmillan,hosseini"
15,da vinci code,",dan,macmillan,da vinci code,thriller,brown"
16,wing fire,",kalam,abdul,wing fire,simon & schuster,biography,j,p"
17,sapien,",sapien,noah,hachette,yuval,harari,history"
18,silent patient,",silent patient,thriller,michaelide,harpercollins,alex"
19,educate,",tara,memoir,educate,westover,random house"
20,power habit,",self help,macmillan,charles,power habit,duhigg"
